id,ip_address,port,protocol,status
1,192.168.1.10,443,HTTPS,Success
2,192.168.1.11,443,HTTPS,Success
3,192.168.1.12,80,HTTP,Success
4,192.168.1.13,443,HTTPS,Success
5,192.168.1.14,443,HTTPS,Success
6,192.168.1.15,22,SSH,Failed
7,192.168.1.15,22,SSH,Failed
8,192.168.1.15,22,SSH,Failed
9,192.168.1.16,443,HTTPS,Success
10,192.168.1.17,80,HTTP,Success
11,192.168.1.18,443,HTTPS,Success
12,192.168.1.19,443,HTTPS,Success
13,192.168.1.20,80,HTTP,Success
14,192.168.1.21,443,HTTPS,Success
15,10.0.0.5,443,HTTPS,Success
16,10.0.0.6,443,HTTPS,Success
17,10.0.0.7,80,HTTP,Success
18,10.0.0.8,21,FTP,Failed
19,10.0.0.9,443,HTTPS,Success
20,10.0.0.10,443,HTTPS,Success
21,192.168.1.22,443,HTTPS,Success
22,192.168.1.23,80,HTTP,Success
23,192.168.1.24,443,HTTPS,Success
24,192.168.1.25,443,HTTPS,Success
25,192.168.1.26,443,HTTPS,Success
26,192.168.1.27,80,HTTP,Success
27,192.168.1.28,443,HTTPS,Success
28,192.168.1.29,22,SSH,Failed
29,192.168.1.29,22,SSH,Failed
30,192.168.1.29,22,SSH,Failed
31,10.0.0.11,21,FTP,Failed
32,10.0.0.12,443,HTTPS,Success
